participant_id,example_joy,example_sadness,example_fear,example_anger,example_disgust,example_surprise,example_other,example_other_text,example_pleasure,example_arousal,example_dominance,example_appraisal
5c791e24266f210012af518d,,1.0,3.0,4.0,,2.0,,,2.0,9.0,5.0,"the robot seems to be scared or angry, using red lights and moving erratically "
5a631a73b9e3b50001a6ebd8,1.0,1.0,1.0,1.0,1.0,1.0,,,5.0,5.0,4.0,the robot moves quite quickly in a manic way
5eebc1fd5feed239a73d693d,,1.0,1.0,,,3.0,,,3.0,7.0,4.0,"The robot moves erratically and seems confused, making many turns and adjustments to it's path, it doesn't seem to know where it's going."
6089aa8120d7418a70f3eba7,1.0,,,5.0,3.0,,,,5.0,9.0,7.0,The robot seems angry with rapid movements and red light as if looking for an intruder around the area it walks.
63fc7ac4c0ba10b71a25a63d,1.0,2.0,4.0,4.0,3.0,4.0,4.0,Agitation,3.0,9.0,5.0,"The robot seemed agitated. Its movements were sporadic and fast moving. It seemed confused in some ways, unable to ascertain its situation. "
5e58436ebdccf5057ddd9190,2.0,,1.0,,2.0,3.0,3.0,Frustration,5.0,6.0,7.0,"The robot is moving without purpose, beeping and dashing about as if it doesn't know where it should be but is trying to get there in a hurry "
656cbb93ba4ac7120453d910,,2.0,4.0,3.0,,,5.0,Confusion,1.0,9.0,1.0,"The robot moves fast and beeps loudly seeming confused, frustrated or afraid. Not knowing where to go to."
5b09da13641b1200010eab05,1.0,,2.0,,,,3.0,Confusion,4.0,6.0,5.0,The robot moves back and forth (left-rght) after hitting the black border a few times like it's unsure where to go.
648ddf3aeff70c1f26ff2652,2.0,1.0,4.0,3.0,1.0,4.0,,,3.0,7.0,9.0,The robot seems to look to find its way out but is lost and makes loud beeping noise 
60089c477baa6b3fba6dbe80,2.0,1.0,3.0,1.0,,3.0,,,5.0,7.0,5.0,The robot seems manic and moves all over the place very fast then turns and spins like it is confused.
55898937fdf99b7ae47f5c7f,,3.0,3.0,2.0,,,,,3.0,7.0,4.0,the robot looks confused like it doesn't know where to go
5e0e72587855d35d4dd68c7d,1.0,1.0,1.0,1.0,1.0,1.0,,,4.0,4.0,3.0,The robot seems to be figuring out what to do as it turns at every corner.  It appears to be displaying low levels of confusion and agitation 
6165e0b51a883e9db8cc7146,,,4.0,5.0,1.0,,,,1.0,9.0,7.0,I think the robot is mad that is why it is running around the place.
5e7a4371b86374017acf58c3,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,7.0,4.0,The robot seems to have gotten lost from a 1980's video game and it's desperate to find its way back.
59e71a3b1ac65d0001eb47ac,1.0,1.0,3.0,3.0,1.0,2.0,,,4.0,9.0,6.0,"The robot seems to be panicking, moving all different ways as if none of them are right"
5e53d2941b233d02960a0dde,2.0,1.0,4.0,3.0,,2.0,,,4.0,9.0,6.0,"The robot may have encountered something unexpected, which is why it's acting so erratic."
5c12521fbf739a0001cfeb03,3.0,,,,,,4.0,excitement,5.0,9.0,6.0,Thjje first robot seemed carefree and jovial.  The second video shows a more excited and boisterous entity
589c431f0da7f10001de7407,1.0,2.0,4.0,4.0,2.0,2.0,,,1.0,7.0,7.0,"The robot looks as though it's trying to escape. IN failing to do so, it seems angry, upset and scared"
5f0cfeef098f1e53ff201909,1.0,2.0,4.0,5.0,2.0,1.0,5.0,Panic,1.0,9.0,7.0,"The robot looks angry, like it's searching for a target to potentially hurt."
59b536d60516f6000197c3f9,1.0,,3.0,3.0,,2.0,,,6.0,9.0,5.0,"The robot seems like its in a trouble, trying to desperately find something or someone making quick sounds."
64543fa5dfed1d0ba8024957,1.0,,2.0,,,4.0,,,3.0,6.0,2.0,The robot seems confused and panicking as if it's unsure about its surroundings.
5a1683aeab721b0001ef8e4c,2.0,,4.0,,,2.0,,,5.0,9.0,5.0,"The robot seems to be looking for which way to go and can't decide which way, stopping and starting and changing direction a lot."
5f2ac70ca7fb433824928131,1.0,1.0,4.0,3.0,1.0,4.0,,,3.0,9.0,2.0,"The robot looks confused and frustrated as it ""stutters"" both in sound and in movement. "
60cdad61f2fc16483e5db0a7,,,2.0,2.0,,,,,2.0,9.0,5.0,"The robot looked angry or frustrated moving fast and beeping loudly, maybe because it couldn't move out of the square"
5fbb4b0d5fdea9c55f813ace,,,5.0,3.0,,4.0,,,1.0,9.0,7.0,"The robot seemed confused because it kept changing direction in the middle, and it also seemed scared or on high alert, shown by the red light & sound"
646baaaa73f3e86f2af26ac8,,,3.0,5.0,1.0,1.0,,,1.0,9.0,7.0,"The robot seems frustrated and angry. It's moving in fast short motions, beeping loudly and glowing red."
60827ccde4706170115a3bf5,2.0,1.0,4.0,3.0,,2.0,4.0,distress,1.0,9.0,9.0,"The robot seemed distressed, flashing red lights, short bursts of sound. Also confused, speeding towards the border of the field and back."
5d57d77df9a0cd00177fc3da,,,2.0,3.0,,,4.0,Stressed,1.0,9.0,6.0,"The robot seems to be stressed, it is acting erratic and moving around quickly "
60a80fbd13aba726d46b8f2e,,2.0,2.0,4.0,,3.0,,,2.0,9.0,7.0,The robot looks angry and is moving around in frustration
63c53d59463365d1a0a23b1e,,2.0,4.0,4.0,3.0,3.0,4.0,confused,2.0,7.0,6.0,"It seems that the robot is stressed/in a hurry to get somewhere, but is confused about where it needs to go."
5b5f15f2fc072a00017da73d,1.0,2.0,2.0,4.0,2.0,3.0,,,3.0,7.0,7.0,He appeared to be looking for something and gettng more frustrated and animated as he scoured the scene looking for it
5d96a61b5d0f1c00117201bd,1.0,,2.0,3.0,,3.0,,,3.0,7.0,3.0,"It looked confused and angry. It seems it was searching for something that wasn't there, so that made him angry and confused."
60fddf7d37552b32ac488583,,,,1.0,2.0,,,,1.0,1.0,1.0,The robot seemed agitated as it was moving very suddenly forward and backwards
6554ff77615f63ff7ded6ac3,1.0,2.0,,,3.0,1.0,,,3.0,9.0,3.0,The robot looked crazy and seemed to be trying to escape from the area.
657a52d55c7577dc0efc0ce6,2.0,,4.0,3.0,,4.0,4.0,Panic,3.0,7.0,4.0,"The robot looks like it was panicking, trying to find an exit, way out. Quick jerky movements with flashing red lights"
60fff225fb2da6129caf029a,3.0,,2.0,3.0,1.0,3.0,,,7.0,9.0,6.0,"it seems robot is quite frustrated , confused or maybe afraid ,that is why is moving so fast and beeping loudly"
659866bb0eef780a15bfd5b2,1.0,,4.0,5.0,5.0,4.0,4.0,Confusion,3.0,9.0,8.0,"It seems the robot failed in its task due to the red eyes indicating an error, and is rather furious but also confused from this."
