submission_id,participant_id,status,custom_study_tncs_accepted_at,started_at,completed_at,reviewed_at,archived_at,time_taken,completion_code,total_approvals,fluent_languages,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status
6634f9452688daf4fe6a3bd5,5b5f15f2fc072a00017da73d,APPROVED,Not Applicable,2024-05-03T14:48:45.392000Z,2024-05-03T15:27:06.260000Z,2024-05-04T08:30:00.990000Z,2024-05-03T15:27:39.526876Z,2301,CPK51IOW,643,"English, Spanish",61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6634f967899d8183da60fa7c,5d59bbe3aaf28300163f7b86,RETURNED,Not Applicable,2024-05-03T14:49:30.083000Z,,,2024-05-04T08:47:10.607391Z,,,360,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6634f96972315a763cba67f7,5e87b28549538b0fdf96b318,APPROVED,Not Applicable,2024-05-03T14:49:13.842000Z,2024-05-03T15:39:11.728000Z,2024-05-04T08:30:27.044000Z,2024-05-03T15:40:13.881883Z,2998,CPK51IOW,435,"English, Portuguese",25,Female,White,Portugal,Sweden,Portugal,Portuguese,No,Part-Time
6634f97e6e202fd5d012a813,55898937fdf99b7ae47f5c7f,APPROVED,Not Applicable,2024-05-03T14:49:39.659000Z,2024-05-03T15:04:45.050000Z,2024-05-04T08:31:03.607000Z,2024-05-03T15:04:45.632159Z,906,CPK51IOW,217,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6634f9879db32bb3ac9fd914,659866bb0eef780a15bfd5b2,APPROVED,Not Applicable,2024-05-03T14:58:31.820000Z,2024-05-03T15:33:03.741000Z,2024-05-04T08:41:09.324000Z,2024-05-03T15:33:04.458622Z,2072,CPK51IOW,109,"Dutch, English, German",40,Male,White,Germany,Netherlands,Germany,German,No,Full-Time
6634f98ddfb055a3c53a9c23,5c12521fbf739a0001cfeb03,APPROVED,Not Applicable,2024-05-03T14:49:58.070000Z,2024-05-03T15:13:17.740000Z,2024-05-04T08:32:25.028000Z,2024-05-03T15:13:45.851403Z,1400,CPK51IOW,2654,English,53,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6634f9a505af4bd6bf7b1a4e,60a685775202707aafbc37a9,RETURNED,Not Applicable,2024-05-03T15:00:15.365000Z,,,2024-05-04T08:47:10.607401Z,,,186,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6634f9aa2a4014ecab6575d6,653fcb1b0f5d689c00a97629,APPROVED,Not Applicable,2024-05-03T14:57:44.347000Z,2024-05-03T16:04:44.111000Z,2024-05-04T08:41:10.014000Z,2024-05-03T16:04:44.680442Z,4020,CPK51IOW,130,"English, German, Finnish",29,Male,Black,Nigeria,Finland,Nigeria,English,Yes,Part-Time
6634f9af05af4bd6bf7b1a51,60cdad61f2fc16483e5db0a7,APPROVED,Not Applicable,2024-05-03T14:52:56.169000Z,2024-05-03T15:18:09.146000Z,2024-05-04T08:41:10.369000Z,2024-05-03T15:18:58.549975Z,1513,CPK51IOW,244,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6634f9b66e202fd5d012a829,6165e0b51a883e9db8cc7146,APPROVED,Not Applicable,2024-05-03T14:50:34.430000Z,2024-05-03T15:09:18.377000Z,2024-05-04T08:34:27.125000Z,2024-05-03T15:09:24.514683Z,1124,CPK51IOW,498,"Greek, English",39,Female,White,Greece,Denmark,Greece,Greek,No,Full-Time
