Feature,Coefficient
Membership Probability of Cluster 8,1.118
Wander Speed × Membership Probability of Cluster 9,-0.876
Membership Probability of Cluster 9,0.763
Wander Speed × Membership Probability of Cluster 7,-0.743
Wander Speed × Membership Probability of Cluster 3,-0.654
Membership Probability of Cluster 3,0.64
Membership Probability of Cluster 5,0.522
Wander Speed × Membership Probability of Cluster 8,-0.52
Membership Probability of Cluster 7,0.493
Wander Speed × Membership Probability of Cluster 2,-0.426
