#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.00 aq:19.03 tex:127686 mv:41362 misc:312 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:33.14 aq:17.61 tex:27226 mv:11580 misc:5794 imb:2719 pmb:811 smb:4630 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:33.11 aq:18.64 tex:16332 mv:6907 misc:4897 imb:773 pmb:630 smb:6757 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:33.07 aq:18.99 tex:14635 mv:4934 misc:3783 imb:442 pmb:457 smb:7261 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:33.03 aq:18.50 tex:13383 mv:5172 misc:4181 imb:551 pmb:465 smb:7144 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:33.05 aq:18.79 tex:1176 mv:1817 misc:1735 imb:62 pmb:214 smb:7884 d:- ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:32.94 aq:18.38 tex:14690 mv:6912 misc:4966 imb:886 pmb:519 smb:6755 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:32.98 aq:19.25 tex:1931 mv:2106 misc:2139 imb:73 pmb:288 smb:7799 d:- ref:0 ;
in:9 out:8 type:P dur:2 cpbdur:2 q:32.85 aq:18.24 tex:12071 mv:6151 misc:4378 imb:659 pmb:470 smb:7031 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:32.89 aq:18.67 tex:1654 mv:1633 misc:1905 imb:45 pmb:282 smb:7833 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:32.75 aq:18.24 tex:11716 mv:4737 misc:4267 imb:608 pmb:433 smb:7119 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:32.71 aq:18.44 tex:32614 mv:10549 misc:5805 imb:1216 pmb:906 smb:6038 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:32.73 aq:18.81 tex:7607 mv:7219 misc:4334 imb:419 pmb:702 smb:7039 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:32.74 aq:18.94 tex:2390 mv:2199 misc:2339 imb:73 pmb:361 smb:7726 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:32.72 aq:19.49 tex:1886 mv:2051 misc:1903 imb:63 pmb:266 smb:7831 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:30.17 aq:17.27 tex:60549 mv:13764 misc:6191 imb:1312 pmb:1354 smb:5494 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:29.06 aq:15.58 tex:51374 mv:14911 misc:6931 imb:1480 pmb:1377 smb:5303 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:29.62 aq:16.65 tex:8870 mv:8238 misc:4956 imb:307 pmb:1013 smb:6840 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:29.90 aq:17.39 tex:5274 mv:6111 misc:4295 imb:323 pmb:795 smb:7042 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:29.34 aq:17.03 tex:5844 mv:5577 misc:3715 imb:273 pmb:601 smb:7286 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:25.60 aq:12.96 tex:121543 mv:24299 misc:6702 imb:2354 pmb:2103 smb:3703 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:27.33 aq:15.14 tex:16879 mv:13992 misc:6361 imb:513 pmb:1617 smb:6030 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:28.20 aq:15.81 tex:5268 mv:5427 misc:4161 imb:183 pmb:818 smb:7159 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:26.47 aq:15.12 tex:12709 mv:12707 misc:6056 imb:592 pmb:1477 smb:6091 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:24.02 aq:10.69 tex:172029 mv:30945 misc:6394 imb:2744 pmb:2362 smb:3054 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:24.81 aq:13.51 tex:32829 mv:24783 misc:7540 imb:767 pmb:2696 smb:4697 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:25.21 aq:14.93 tex:28004 mv:17874 misc:6986 imb:956 pmb:1984 smb:5220 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:24.42 aq:13.45 tex:13354 mv:11161 misc:5869 imb:307 pmb:1542 smb:6311 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:23.44 aq:10.17 tex:104287 mv:27584 misc:6857 imb:2309 pmb:2184 smb:3667 d:- ref:0 ;
